

# Contour value=5.00 
mST_GeV,deltaM_GeV
8.4431e+02,5.2944e+02
8.4445e+02,5.3052e+02
8.4458e+02,5.3160e+02
8.4471e+02,5.3269e+02
8.4485e+02,5.3377e+02
8.4498e+02,5.3485e+02
8.4511e+02,5.3593e+02
8.4525e+02,5.3701e+02
8.4538e+02,5.3810e+02
8.4551e+02,5.3918e+02
8.4564e+02,5.4026e+02
8.4578e+02,5.4134e+02
8.4591e+02,5.4242e+02
8.4604e+02,5.4351e+02
8.4618e+02,5.4459e+02
8.4631e+02,5.4567e+02
8.4644e+02,5.4675e+02
8.4649e+02,5.4717e+02
8.4657e+02,5.4784e+02
8.4671e+02,5.4892e+02
8.4684e+02,5.5000e+02
