

# Contour value=10.00 
mST_GeV,deltaM_GeV
1.1256e+03,4.3844e+02
1.1255e+03,4.4090e+02
1.1254e+03,4.4337e+02
1.1253e+03,4.4583e+02
1.1252e+03,4.4829e+02
1.1250e+03,4.5075e+02
1.1249e+03,4.5322e+02
1.1248e+03,4.5568e+02
1.1247e+03,4.5814e+02
1.1245e+03,4.6060e+02
1.1244e+03,4.6307e+02
1.1243e+03,4.6553e+02
1.1242e+03,4.6799e+02
1.1241e+03,4.7045e+02
1.1240e+03,4.7291e+02
1.1241e+03,4.7538e+02
1.1243e+03,4.7784e+02
1.1244e+03,4.8030e+02
1.1246e+03,4.8276e+02
1.1248e+03,4.8523e+02
1.1250e+03,4.8769e+02
1.1253e+03,4.9015e+02
1.1256e+03,4.9261e+02
1.1258e+03,4.9508e+02
1.1261e+03,4.9754e+02
1.1264e+03,5.0000e+02
