

# Contour value=10.00 
mST_GeV,deltaM_GeV
1.0565e+03,1.4296e+02
1.0570e+03,1.4568e+02
1.0575e+03,1.4839e+02
1.0580e+03,1.5111e+02
1.0585e+03,1.5382e+02
1.0591e+03,1.5653e+02
1.0596e+03,1.5925e+02
1.0598e+03,1.6019e+02
1.0601e+03,1.6196e+02
1.0607e+03,1.6467e+02
1.0613e+03,1.6739e+02
1.0618e+03,1.7010e+02
1.0626e+03,1.7281e+02
1.0634e+03,1.7553e+02
1.0642e+03,1.7824e+02
1.0650e+03,1.8095e+02
1.0658e+03,1.8367e+02
1.0666e+03,1.8638e+02
1.0674e+03,1.8910e+02
1.0682e+03,1.9181e+02
1.0690e+03,1.9452e+02
1.0698e+03,1.9724e+02
1.0706e+03,1.9995e+02
1.0712e+03,2.0266e+02
1.0718e+03,2.0538e+02
1.0723e+03,2.0809e+02
1.0729e+03,2.1080e+02
1.0734e+03,2.1311e+02
1.0734e+03,2.1352e+02
1.0740e+03,2.1623e+02
1.0746e+03,2.1894e+02
1.0751e+03,2.2166e+02
1.0757e+03,2.2437e+02
1.0762e+03,2.2709e+02
1.0768e+03,2.2980e+02
1.0774e+03,2.3251e+02
1.0779e+03,2.3523e+02
1.0785e+03,2.3794e+02
1.0791e+03,2.4065e+02
1.0797e+03,2.4337e+02
1.0802e+03,2.4608e+02
1.0808e+03,2.4879e+02
1.0814e+03,2.5151e+02
1.0819e+03,2.5422e+02
1.0823e+03,2.5693e+02
1.0828e+03,2.5965e+02
1.0833e+03,2.6236e+02
1.0838e+03,2.6508e+02
1.0843e+03,2.6779e+02
1.0848e+03,2.7050e+02
1.0853e+03,2.7322e+02
1.0857e+03,2.7593e+02
1.0862e+03,2.7864e+02
1.0867e+03,2.8136e+02
1.0869e+03,2.8263e+02
1.0872e+03,2.8407e+02
1.0877e+03,2.8678e+02
1.0882e+03,2.8950e+02
1.0886e+03,2.9221e+02
1.0892e+03,2.9492e+02
1.0897e+03,2.9764e+02
