

# Contour for yDM=12 
mST_GeV,mChi_GeV,yDM
1.1892e+03,1.0812e+03,1.5000e+01
1.1882e+03,1.0821e+03,1.5000e+01
1.1871e+03,1.0831e+03,1.5000e+01
1.1864e+03,1.0837e+03,1.5000e+01
1.1861e+03,1.0840e+03,1.5000e+01
1.1850e+03,1.0849e+03,1.5000e+01
1.1842e+03,1.0860e+03,1.5000e+01
1.1834e+03,1.0872e+03,1.5000e+01
1.1830e+03,1.0887e+03,1.5000e+01
1.1827e+03,1.0904e+03,1.5000e+01
1.1824e+03,1.0919e+03,1.5000e+01
1.1824e+03,1.0920e+03,1.5000e+01
1.1822e+03,1.0927e+03,1.5000e+01
1.1770e+03,1.1289e+03,1.5000e+01
1.1775e+03,1.1303e+03,1.5000e+01
1.1777e+03,1.1324e+03,1.5000e+01
1.1778e+03,1.1345e+03,1.5000e+01
1.1780e+03,1.1366e+03,1.5000e+01
1.1781e+03,1.1387e+03,1.5000e+01
1.1783e+03,1.1408e+03,1.5000e+01
1.1784e+03,1.1426e+03,1.5000e+01
1.1784e+03,1.1429e+03,1.5000e+01
1.1786e+03,1.1450e+03,1.5000e+01
1.1787e+03,1.1471e+03,1.5000e+01
1.1789e+03,1.1493e+03,1.5000e+01
1.1790e+03,1.1514e+03,1.5000e+01
1.1791e+03,1.1535e+03,1.5000e+01
1.1786e+03,1.1549e+03,1.5000e+01
1.1784e+03,1.1551e+03,1.5000e+01
1.1777e+03,1.1559e+03,1.5000e+01
1.1768e+03,1.1570e+03,1.5000e+01
1.1759e+03,1.1580e+03,1.5000e+01
1.1750e+03,1.1591e+03,1.5000e+01
1.1744e+03,1.1598e+03,1.5000e+01
1.1741e+03,1.1601e+03,1.5000e+01
1.1731e+03,1.1612e+03,1.5000e+01
1.1715e+03,1.1615e+03,1.5000e+01


# Contour for yDM=20 
mST_GeV,mChi_GeV,yDM
1.4656e+03,1.0656e+03,2.0000e+01
1.4653e+03,1.0673e+03,2.0000e+01
1.4650e+03,1.0689e+03,2.0000e+01
1.4647e+03,1.0706e+03,2.0000e+01
1.4644e+03,1.0722e+03,2.0000e+01
1.4640e+03,1.0738e+03,2.0000e+01
1.4638e+03,1.0750e+03,2.0000e+01
1.4637e+03,1.0755e+03,2.0000e+01
1.4634e+03,1.0771e+03,2.0000e+01
1.4631e+03,1.0788e+03,2.0000e+01
1.4628e+03,1.0804e+03,2.0000e+01
1.4625e+03,1.0821e+03,2.0000e+01
1.4621e+03,1.0837e+03,2.0000e+01
1.4618e+03,1.0853e+03,2.0000e+01
1.4615e+03,1.0870e+03,2.0000e+01
1.4612e+03,1.0886e+03,2.0000e+01
1.4609e+03,1.0903e+03,2.0000e+01
1.4606e+03,1.0919e+03,2.0000e+01
1.4602e+03,1.0936e+03,2.0000e+01
1.4599e+03,1.0952e+03,2.0000e+01
1.4598e+03,1.0959e+03,2.0000e+01
1.4596e+03,1.0968e+03,2.0000e+01
1.4593e+03,1.0985e+03,2.0000e+01
1.4590e+03,1.1001e+03,2.0000e+01
