#: table_doi: 10.17182/hepdata.106115.v2/t11
#: name: Yields (Monojet)
#: description: Background and data yields in the control and signal region bins. The prediction before ("prefit") and after the background only fit ("b-only") are given separately.
#: data_file: yields_(monojet).yaml
#: keyword cmenergies: 13000.0
#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,B-only
#: Process,,,Data
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield
415.0,400.0,430.0,0.82769,0.11823,-0.11823
450.0,430.0,470.0,0.21562,0.031489,-0.031489
490.0,470.0,510.0,1.4233,0.22222,-0.22222
530.0,510.0,550.0,0.56168,0.091173,-0.091173
570.0,550.0,590.0,0.33597,0.056584,-0.056584
615.0,590.0,640.0,0.19818,0.038857,-0.038857
665.0,640.0,690.0,0.65751,0.12449,-0.12449
715.0,690.0,740.0,1.7268e-06,2.3091e-07,-2.3091e-07
765.0,740.0,790.0,1.7268e-06,2.3091e-07,-2.3091e-07
815.0,790.0,840.0,1.7268e-06,2.3091e-07,-2.3091e-07
870.0,840.0,900.0,2.0721e-06,2.7709e-07,-2.7709e-07
930.0,900.0,960.0,2.0721e-06,2.7709e-07,-2.7709e-07
990.0,960.0,1020.0,2.0721e-06,2.7709e-07,-2.7709e-07
1055.0,1020.0,1090.0,2.4175e-06,3.2327e-07,-3.2327e-07
1125.0,1090.0,1160.0,2.4175e-06,3.2327e-07,-3.2327e-07
1205.0,1160.0,1250.0,3.1082e-06,4.1564e-07,-4.1564e-07
1325.0,1250.0,1400.0,5.1803e-06,6.9273e-07,-6.9273e-07

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,Prefit
#: Process,,,Total SM
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,118360.0,4489.4,-4489.4
295.0,280.0,310.0,68900.0,2575.7,-2575.7
325.0,310.0,340.0,41129.0,1471.8,-1471.8
355.0,340.0,370.0,25676.0,904.74,-904.74
385.0,370.0,400.0,16596.0,559.57,-559.57
415.0,400.0,430.0,10945.0,357.3,-357.3
450.0,430.0,470.0,9342.1,299.26,-299.26
490.0,470.0,510.0,5755.7,172.15,-172.15
530.0,510.0,550.0,3623.4,112.88,-112.88
570.0,550.0,590.0,2350.8,78.42,-78.42
615.0,590.0,640.0,1864.8,67.385,-67.385
665.0,640.0,690.0,1137.2,37.667,-37.667
715.0,690.0,740.0,721.01,28.047,-28.047
765.0,740.0,790.0,471.57,21.858,-21.858
815.0,790.0,840.0,299.5,13.837,-13.837
870.0,840.0,900.0,229.79,10.818,-10.818
930.0,900.0,960.0,146.59,7.7255,-7.7255
990.0,960.0,1020.0,91.029,5.2432,-5.2432
1055.0,1020.0,1090.0,65.979,4.1247,-4.1247
1125.0,1090.0,1160.0,42.586,3.245,-3.245
1205.0,1160.0,1250.0,31.344,2.5986,-2.5986
1325.0,1250.0,1400.0,48.781,3.953,-3.953

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single electron
#: Fit,,,B-only
#: Process,,,Data
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield
265.0,250.0,280.0,68745.0
295.0,280.0,310.0,41729.0
325.0,310.0,340.0,25752.0
355.0,340.0,370.0,16768.0
385.0,370.0,400.0,11135.0
415.0,400.0,430.0,7610.0
450.0,430.0,470.0,6403.0
490.0,470.0,510.0,3943.0
530.0,510.0,550.0,2630.0
570.0,550.0,590.0,1848.0
615.0,590.0,640.0,1387.0
665.0,640.0,690.0,899.0
715.0,690.0,740.0,536.0
765.0,740.0,790.0,374.0
815.0,790.0,840.0,255.0
870.0,840.0,900.0,214.0
930.0,900.0,960.0,133.0
990.0,960.0,1020.0,87.0
1055.0,1020.0,1090.0,67.0
