#: table_doi: 10.17182/hepdata.106115.v2/t18
#: name: Cut flow for Monojet, Fermion portal
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_monojet,_fermion_portal.yaml
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword cmenergies: 13000.0
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.98717
$p_{T}^{miss} > 250$ GeV,0.95061
$p_{T}^{miss}$ quality filters,0.94108
Electron veto,0.93544
Muon veto,0.93267
Tau veto,0.9021
B jet veto,0.9021
Photon veto,0.87008
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.6586
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.65837
Leading AK4 jet $p_{T} > 100$ GeV,0.6573
Leading AK4 jet $\eta < 2.4$,0.6573
Leading AK4 jet energy fractions,0.6538
Mono-V overlap removal,0.63001
HCAL mitigation (jets),0.59174
HCAL mitigation ($\phi^{miss}$),0.58189
