#: table_doi: 10.17182/hepdata.106115.v2/t16
#: name: Simplified likelihood: covariance matrix (Mono-V)
#: description: Matrix of covariance coefficients between signal region bins. The coefficients are obtained from the background-only fit to the control regions, and serve as input to the simplified likelihood reinterpretation scheme.
#: data_file: simplified_likelihood:_covariance_matrix_(mono-v).yaml
#: keyword cmenergies: 13000.0
First Bin,Second Bin,Covariance
monovloose_2017_bin1,monovloose_2017_bin0,35087.4394
monovloose_2017_bin1,monovloose_2017_bin1,29034.90225
monovloose_2017_bin1,monovloose_2017_bin2,10359.46224
monovloose_2017_bin1,monovloose_2017_bin3,7312.179999
monovloose_2017_bin1,monovloose_2017_bin4,1876.354496
monovloose_2017_bin1,monovloose_2017_bin5,537.7639163
monovloose_2017_bin1,monovloose_2017_bin6,178.0986081
monovloose_2017_bin1,monovloose_2018_bin0,4598.078363
monovloose_2017_bin1,monovloose_2018_bin1,3996.387886
monovloose_2017_bin1,monovloose_2018_bin2,1890.557523
monovloose_2017_bin1,monovloose_2018_bin3,1298.084712
monovloose_2017_bin1,monovloose_2018_bin4,515.0252223
monovloose_2017_bin1,monovloose_2018_bin5,204.0810509
monovloose_2017_bin1,monovloose_2018_bin6,66.33297659
monovloose_2017_bin1,monovtight_2017_bin0,3092.711368
monovloose_2017_bin1,monovtight_2017_bin1,1910.305613
monovloose_2017_bin1,monovtight_2017_bin2,992.4312633
monovloose_2017_bin1,monovtight_2017_bin3,671.4149017
monovloose_2017_bin1,monovtight_2017_bin4,281.6068373
monovloose_2017_bin1,monovtight_2017_bin5,93.89886949
monovloose_2017_bin1,monovtight_2017_bin6,37.0862853
monovloose_2017_bin1,monovtight_2018_bin0,776.5198718
monovloose_2017_bin1,monovtight_2018_bin1,643.8866707
monovloose_2017_bin1,monovtight_2018_bin2,162.4538816
monovloose_2017_bin1,monovtight_2018_bin3,170.154307
monovloose_2017_bin1,monovtight_2018_bin4,106.7066339
monovloose_2017_bin1,monovtight_2018_bin5,33.40180638
monovloose_2017_bin1,monovtight_2018_bin6,5.636562084
monovloose_2017_bin2,monovtau21_2016_bin0,-54.23834308
monovloose_2017_bin2,monovtau21_2016_bin1,43.15353548
monovloose_2017_bin2,monovtau21_2016_bin2,167.8865493
monovloose_2017_bin2,monovtau21_2016_bin3,-56.59452663
monovloose_2017_bin2,monovtau21_2016_bin4,-31.26420232
monovloose_2017_bin2,monovtau21_2016_bin5,7.797316993
monovloose_2017_bin2,monovtau21_2016_bin6,0.6077858508
monovloose_2017_bin2,monovloose_2017_bin0,16239.50004
monovloose_2017_bin2,monovloose_2017_bin1,10359.46224
monovloose_2017_bin2,monovloose_2017_bin2,7782.580829
monovloose_2017_bin2,monovloose_2017_bin3,3823.390368
monovloose_2017_bin2,monovloose_2017_bin4,1076.199722
monovloose_2017_bin2,monovloose_2017_bin5,349.0805868
monovloose_2017_bin2,monovloose_2017_bin6,124.63826
monovloose_2017_bin2,monovloose_2018_bin0,2548.964748
monovloose_2017_bin2,monovloose_2018_bin1,1976.412044
monovloose_2017_bin2,monovloose_2018_bin2,1059.488537
monovloose_2017_bin2,monovloose_2018_bin3,665.199306
monovloose_2017_bin2,monovloose_2018_bin4,257.0705666
monovloose_2017_bin2,monovloose_2018_bin5,94.20329726
monovloose_2017_bin2,monovloose_2018_bin6,42.50883773
monovloose_2017_bin2,monovtight_2017_bin0,1488.343217
monovloose_2017_bin2,monovtight_2017_bin1,884.4029805
monovloose_2017_bin2,monovtight_2017_bin2,472.2077863
monovloose_2017_bin2,monovtight_2017_bin3,352.3646935
monovloose_2017_bin2,monovtight_2017_bin4,97.95329985
monovloose_2017_bin2,monovtight_2017_bin5,37.72647035
monovloose_2017_bin2,monovtight_2017_bin6,25.83325039
monovloose_2017_bin2,monovtight_2018_bin0,519.1612993
monovloose_2017_bin2,monovtight_2018_bin1,316.0558633
monovloose_2017_bin2,monovtight_2018_bin2,96.07193183
monovloose_2017_bin2,monovtight_2018_bin3,99.08820179
monovloose_2017_bin2,monovtight_2018_bin4,34.61386405
monovloose_2017_bin2,monovtight_2018_bin5,0.6564316716
monovloose_2017_bin2,monovtight_2018_bin6,-3.705894309
monovloose_2017_bin3,monovtau21_2016_bin0,-436.1498339
monovloose_2017_bin3,monovtau21_2016_bin1,42.3445365
monovloose_2017_bin3,monovtau21_2016_bin2,-104.09974
monovloose_2017_bin3,monovtau21_2016_bin3,-27.25239858
