#: table_doi: 10.17182/hepdata.106115.v2/t6
#: name: Signal templates, DMsimp, spin-0, Mono-V ($\tau_{21}$)
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_dmsimp,_spin-0,_mono-v_($\tau_{21}$).yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET JET
#: keyword cmenergies: 13000.0
#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,3.8807,0.088158,-0.088158
325.0,300.0,350.0,4.2816,0.09283,-0.09283
375.0,350.0,400.0,3.5788,0.084745,-0.084745
450.0,400.0,500.0,4.489,0.094818,-0.094818
550.0,500.0,600.0,1.9796,0.06286,-0.06286
675.0,600.0,750.0,1.1224,0.047318,-0.047318
875.0,750.0,1000.0,0.39547,0.028092,-0.028092

#: Coupling type,,,Pseudoscalar
#: Production mode,,,monov
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,17.031,0.21811,-0.21811
325.0,300.0,350.0,16.732,0.21694,-0.21694
375.0,350.0,400.0,12.521,0.1875,-0.1875
450.0,400.0,500.0,14.336,0.20054,-0.20054
550.0,500.0,600.0,6.3762,0.13362,-0.13362
675.0,600.0,750.0,3.2898,0.096058,-0.096058
875.0,750.0,1000.0,1.6529,0.068002,-0.068002

#: Coupling type,,,Pseudoscalar
#: Production mode,,,monov
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,40.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,17.523,0.17177,-0.17177
325.0,300.0,350.0,16.656,0.16784,-0.16784
375.0,350.0,400.0,12.76,0.14702,-0.14702
450.0,400.0,500.0,14.544,0.1567,-0.1567
550.0,500.0,600.0,6.3685,0.10349,-0.10349
675.0,600.0,750.0,3.4041,0.075576,-0.075576
875.0,750.0,1000.0,1.7935,0.054963,-0.054963

#: Coupling type,,,Pseudoscalar
#: Production mode,,,monov
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,45.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,17.554,0.1718,-0.1718
325.0,300.0,350.0,17.069,0.16984,-0.16984
375.0,350.0,400.0,12.863,0.14741,-0.14741
450.0,400.0,500.0,14.362,0.1555,-0.1555
550.0,500.0,600.0,6.2642,0.10259,-0.10259
675.0,600.0,750.0,3.4552,0.076299,-0.076299
875.0,750.0,1000.0,1.6208,0.052134,-0.052134

#: Coupling type,,,Pseudoscalar
#: Production mode,,,monov
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,55.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,0.3674,0.0036374,-0.0036374
325.0,300.0,350.0,0.3712,0.0036667,-0.0036667
375.0,350.0,400.0,0.30275,0.0033106,-0.0033106
450.0,400.0,500.0,0.37641,0.0036884,-0.0036884
550.0,500.0,600.0,0.18167,0.0025634,-0.0025634
675.0,600.0,750.0,0.11368,0.0020218,-0.0020218
875.0,750.0,1000.0,0.058255,0.0014466,-0.0014466

#: Coupling type,,,Pseudoscalar
#: Production mode,,,monov
#: $m_{med}$,,,10.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,19.14,0.18577,-0.18577
325.0,300.0,350.0,18.533,0.18337,-0.18337
375.0,350.0,400.0,13.419,0.1559,-0.1559
450.0,400.0,500.0,14.963,0.16438,-0.16438
550.0,500.0,600.0,6.3404,0.10713,-0.10713
675.0,600.0,750.0,3.6346,0.080983,-0.080983
875.0,750.0,1000.0,1.7192,0.055688,-0.055688

#: Coupling type,,,Pseudoscalar
#: Production mode,,,monov
#: $m_{med}$,,,10.0
#: $m_{DM}$,,,4.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,15.405,0.16904,-0.16904
325.0,300.0,350.0,14.612,0.16512,-0.16512
375.0,350.0,400.0,10.59,0.14061,-0.14061
450.0,400.0,500.0,12.175,0.15057,-0.15057
550.0,500.0,600.0,5.0924,0.097351,-0.097351
675.0,600.0,750.0,2.6662,0.070429,-0.070429
875.0,750.0,1000.0,1.3216,0.049511,-0.049511

#: Coupling type,,,Pseudoscalar
#: Production mode,,,monov
#: $m_{med}$,,,10.0
#: $m_{DM}$,,,6.0
#: $g_{q}$,,,1.0
