#: table_doi: 10.17182/hepdata.106115.v2/t21
#: name: Cut flow for Monojet, DM, spin-0 mediator
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_monojet,_dm,_spin-0_mediator.yaml
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword cmenergies: 13000.0
#: Coupling,Scalar
#: Mode,$\chi\chi+j$
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.737
$p_{T}^{miss} > 250$ GeV,0.47597
$p_{T}^{miss}$ quality filters,0.47467
Electron veto,0.46486
Muon veto,0.4557
Tau veto,0.43389
B jet veto,0.43389
Photon veto,0.43133
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.38394
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.38323
Leading AK4 jet $p_{T} > 100$ GeV,0.37392
Leading AK4 jet $\eta < 2.4$,0.37392
Leading AK4 jet energy fractions,0.37057
Mono-V overlap removal,0.2339
HCAL mitigation (jets),0.2339
HCAL mitigation ($\phi^{miss}$),0.2339
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.23374

#: Coupling,Scalar
#: Mode,$\chi\chi+j$
#: $m_{med}$,350.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.61437
$p_{T}^{miss} > 250$ GeV,0.19832
$p_{T}^{miss}$ quality filters,0.19806
Electron veto,0.19755
Muon veto,0.19696
Tau veto,0.19249
B jet veto,0.19249
Photon veto,0.19137
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.17959
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.17836
Leading AK4 jet $p_{T} > 100$ GeV,0.15873
Leading AK4 jet $\eta < 2.4$,0.15873
Leading AK4 jet energy fractions,0.15785
Mono-V overlap removal,0.15029
HCAL mitigation (jets),0.15029
HCAL mitigation ($\phi^{miss}$),0.15029
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.15027

#: Coupling,Scalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,450.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.72362
$p_{T}^{miss} > 250$ GeV,0.44872
$p_{T}^{miss}$ quality filters,0.44752
Electron veto,0.43835
Muon veto,0.4298
Tau veto,0.4092
B jet veto,0.4092
Photon veto,0.4068
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.36305
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.36234
Leading AK4 jet $p_{T} > 100$ GeV,0.35294
Leading AK4 jet $\eta < 2.4$,0.35294
Leading AK4 jet energy fractions,0.34966
Mono-V overlap removal,0.22328
HCAL mitigation (jets),0.22328
HCAL mitigation ($\phi^{miss}$),0.22328
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.22315

#: Coupling,Scalar
#: Mode,$\chi\chi+j$
#: $m_{med}$,500.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.62849
$p_{T}^{miss} > 250$ GeV,0.25663
$p_{T}^{miss}$ quality filters,0.25637
Electron veto,0.25576
